TurbID,n,patv_missing,wspd_missing,patv_mean,patv_std,neg_rate,stall_rate,cv
1,35280,0.0103,0.0103,462.4851,525.8195,0.225,0.0481,1.1369
2,35280,0.0113,0.0113,399.9437,468.4591,0.2863,0.0558,1.1713
3,35280,0.01,0.01,415.6092,471.8681,0.2692,0.042,1.1354
4,35280,0.0101,0.0101,406.2596,466.9531,0.2647,0.044,1.1494
5,35280,0.0096,0.0096,410.8377,462.5863,0.2247,0.0356,1.126
6,35280,0.0104,0.0104,423.3151,478.9391,0.2537,0.0395,1.1314
7,35280,0.01,0.01,403.8578,464.8725,0.2046,0.0454,1.1511
8,35280,0.0104,0.0104,396.9174,471.1384,0.2612,0.0625,1.187
9,35280,0.01,0.01,409.4247,476.0233,0.26,0.0512,1.1627
10,35280,0.0103,0.0103,405.239,475.2579,0.2588,0.0568,1.1728
11,35280,0.0082,0.0082,417.7976,468.8443,0.2468,0.0336,1.1222
12,35280,0.0097,0.0097,410.6349,471.5445,0.2479,0.0375,1.1483
13,35280,0.0118,0.0118,377.5566,455.4443,0.2602,0.0593,1.2063
14,35280,0.0102,0.0102,399.179,461.6105,0.2175,0.042,1.1564
15,35280,0.0083,0.0083,385.5368,459.6345,0.2695,0.0452,1.1922
16,35280,0.0092,0.0092,389.6568,446.2541,0.2442,0.0351,1.1452
17,35280,0.0097,0.0097,379.4631,445.3318,0.2457,0.0455,1.1736
18,35280,0.0105,0.0105,367.0267,433.2668,0.2377,0.0412,1.1805
19,35280,0.0105,0.0105,365.5504,428.121,0.2582,0.0435,1.1712
20,35280,0.0099,0.0099,349.6599,425.6227,0.2874,0.053,1.2172
21,35280,0.0101,0.0101,347.4679,425.7445,0.2672,0.0548,1.2253
22,35280,0.0097,0.0097,387.5604,460.6658,0.273,0.061,1.1886
23,35280,0.0103,0.0103,402.1253,461.5382,0.2595,0.037,1.1477
24,35280,0.0098,0.0098,368.9124,444.8778,0.2687,0.07,1.2059
25,35280,0.01,0.01,401.3383,462.2912,0.2651,0.0378,1.1519
26,35280,0.0125,0.0125,400.9855,464.9737,0.2174,0.0434,1.1596
